census_year,clue_small_area,Total_cafe,accommodation_and_food_services,administrative_and_support_services,agriculture_forestry_and_fishing,arts_and_recreation_services,construction,education_and_training,electricity_gas_water_and_waste_services,financial_and_insurance_services,health_care_and_social_assistance,information_media_and_telecommunications,manufacturing,mining,other_services,professional_scientific_and_technical_services,public_administration_and_safety,rental_hiring_and_real_estate_services,retail_trade,transport_postal_and_warehousing,wholesale_trade,total_establishments_in_block,Total_Dwel,New_food_services
2002,Carlton,241,190,40,0,31,13,61,13,41,102,30,31,0,146,143,13,15,166,10,24,1069,80.0,12
2002,Docklands,24,23,6,1,9,4,1,6,1,3,5,6,0,14,7,7,4,11,36,3,147,850.0,13
2002,East Melbourne,39,54,22,0,42,4,12,8,17,153,10,8,0,40,70,14,5,16,6,7,488,78.0,1
2002,Kensington,8,12,1,0,60,2,2,4,2,9,1,22,0,8,6,3,2,7,5,23,169,81.0,0
2002,Melbourne (CBD),1072,993,489,7,92,68,143,53,620,332,216,289,31,605,1343,161,148,1317,129,128,7164,1452.0,0
2002,Melbourne (Remainder),37,24,24,1,36,5,8,4,39,54,11,7,3,27,94,4,5,17,7,8,378,0.0,0
2002,North Melbourne,79,84,32,2,37,20,14,22,22,33,24,65,0,133,111,7,15,93,43,75,832,89.0,6
2002,Parkville,30,51,3,0,24,0,7,7,5,48,1,2,0,21,6,4,1,19,4,3,206,84.0,0
2002,Port Melbourne,3,4,6,0,9,11,2,5,2,0,8,37,1,2,21,5,3,8,21,35,180,0.0,0
2002,South Yarra,10,15,1,0,4,0,12,6,0,5,1,0,0,11,2,2,0,10,0,0,69,0.0,0
2002,Southbank,100,91,19,2,38,8,10,21,23,12,39,14,5,48,91,10,17,96,16,21,581,897.0,0
2002,West Melbourne (Industrial),13,10,4,1,5,6,0,8,1,0,1,19,0,8,6,1,11,9,89,197,376,0.0,0
2002,West Melbourne (Residential),50,44,31,0,19,11,9,9,15,14,15,42,1,63,71,8,4,48,22,54,480,31.0,4
2003,Carlton,274,202,38,0,36,12,68,15,44,96,29,30,0,166,158,17,22,168,11,28,1140,793.0,0
2003,Docklands,50,36,5,1,9,4,2,6,3,6,5,3,0,13,6,7,2,16,18,3,145,791.0,0
2003,East Melbourne,44,55,20,1,41,4,13,7,15,104,8,6,0,47,73,17,7,16,3,6,443,0.0,0
2003,Kensington,8,12,1,0,60,2,2,4,2,9,1,22,0,8,6,3,2,7,5,23,169,1332.0,0
2003,Melbourne (CBD),1072,993,489,7,92,68,143,53,620,332,216,289,31,605,1343,161,148,1317,129,128,7164,493.0,113
2003,Melbourne (Remainder),37,24,24,1,36,5,8,4,39,54,11,7,3,27,94,4,5,17,7,8,378,0.0,5
2003,North Melbourne,99,90,33,1,31,19,15,21,23,37,30,78,1,127,142,4,19,95,38,63,867,171.0,0
2003,Parkville,33,50,3,1,20,0,11,8,6,45,2,4,0,24,13,4,1,18,4,2,216,0.0,0
2003,Port Melbourne,3,4,6,0,9,11,2,5,2,0,8,37,1,2,21,5,3,8,21,35,180,0.0,2
2003,South Yarra,10,15,1,0,4,0,12,6,0,5,1,0,0,11,2,2,0,10,0,0,69,24.0,1
2003,Southbank,100,91,19,2,38,8,10,21,23,12,39,14,5,48,91,10,17,96,16,21,581,182.0,13
2003,West Melbourne (Industrial),13,10,5,1,7,5,0,9,1,0,2,19,0,7,3,2,15,7,87,218,398,0.0,0
2003,West Melbourne (Residential),55,48,26,0,21,9,8,8,19,18,18,39,1,69,89,9,7,52,23,45,509,95.0,0
2004,Carlton,274,202,38,0,36,12,68,15,44,96,29,30,0,166,158,17,22,168,11,28,1140,58.0,16
2004,Docklands,50,36,5,1,9,4,2,6,3,6,5,3,0,13,6,7,2,16,18,3,145,183.0,58
2004,East Melbourne,44,55,20,1,41,4,13,7,15,104,8,6,0,47,73,17,7,16,3,6,443,41.0,3
2004,Kensington,11,11,2,0,60,3,1,5,2,11,0,25,0,13,9,3,2,7,5,19,178,111.0,0
2004,Melbourne (CBD),1222,1106,510,9,114,70,156,60,591,331,213,287,27,583,1391,165,148,1409,120,132,7422,1085.0,57
2004,Melbourne (Remainder),46,29,22,1,37,6,7,3,31,49,11,6,3,33,73,5,7,19,9,7,358,0.0,0
2004,North Melbourne,99,90,33,1,31,19,15,21,23,37,30,78,1,127,142,4,19,95,38,63,867,168.0,9
2004,Parkville,33,50,3,1,20,0,11,8,6,45,2,4,0,24,13,4,1,18,4,2,216,0.0,0
2004,Port Melbourne,11,6,11,0,8,13,1,5,3,0,10,35,1,3,34,4,4,13,22,43,216,0.0,0
2004,South Yarra,13,16,0,0,4,0,12,6,0,4,1,0,0,10,3,1,0,10,0,0,67,0.0,0
2004,Southbank,107,104,22,3,42,8,10,21,16,15,35,12,6,50,83,9,18,98,10,22,584,814.0,0
2004,West Melbourne (Industrial),13,10,5,1,7,5,0,9,1,0,2,19,0,7,3,2,15,7,87,218,398,0.0,0
2004,West Melbourne (Residential),55,48,26,0,21,9,8,8,19,18,18,39,1,69,89,9,7,52,23,45,509,22.0,5
2005,Carlton,300,218,36,0,37,12,66,16,43,101,25,32,0,153,158,18,20,166,10,27,1138,394.0,0
2005,Docklands,108,94,17,2,17,8,3,6,9,7,9,5,0,29,38,11,15,108,37,3,418,746.0,0
2005,East Melbourne,60,58,13,0,46,3,15,7,11,171,10,6,0,49,79,21,6,18,3,7,523,428.0,0
2005,Kensington,11,11,2,0,60,3,1,5,2,11,0,25,0,13,9,3,2,7,5,19,178,141.0,0
2005,Melbourne (CBD),1298,1163,495,9,100,69,181,55,633,352,220,272,36,603,1461,169,154,1557,120,138,7787,441.0,95
2005,Melbourne (Remainder),46,29,22,1,37,6,7,3,31,49,11,6,3,33,73,5,7,19,9,7,358,0.0,0
2005,North Melbourne,116,99,24,2,42,20,18,21,21,47,39,71,1,136,135,6,24,98,38,58,900,465.0,0
2005,Parkville,34,49,3,2,20,0,14,9,5,43,3,2,0,24,11,4,1,18,4,1,213,0.0,0
2005,Port Melbourne,11,6,11,0,8,13,1,5,3,0,10,35,1,3,34,4,4,13,22,43,216,0.0,2
2005,South Yarra,13,16,0,0,4,0,12,6,0,4,1,0,0,10,3,1,0,10,0,0,67,0.0,1
2005,Southbank,107,104,22,3,42,8,10,21,16,15,35,12,6,50,83,9,18,98,10,22,584,532.0,18
2005,West Melbourne (Industrial),13,9,3,1,10,4,0,10,1,0,3,18,0,7,4,4,16,9,83,235,417,0.0,0
2005,West Melbourne (Residential),60,53,24,0,23,10,10,9,16,18,25,34,0,72,86,11,8,53,26,48,526,118.0,0
2006,Carlton,300,218,36,0,37,12,66,16,43,101,25,32,0,153,158,18,20,166,10,27,1138,310.0,21
2006,Docklands,108,94,17,2,17,8,3,6,9,7,9,5,0,29,38,11,15,108,37,3,418,448.0,23
2006,East Melbourne,60,58,13,0,46,3,15,7,11,171,10,6,0,49,79,21,6,18,3,7,523,17.0,4
2006,Kensington,12,10,2,0,59,3,1,5,2,10,2,21,0,14,9,2,2,11,5,15,173,88.0,0
2006,Melbourne (CBD),1373,1258,516,7,113,75,205,55,678,350,227,267,41,621,1578,170,165,1590,117,136,8169,610.0,37
2006,Melbourne (Remainder),48,27,23,1,42,7,6,3,38,63,10,9,1,33,89,10,4,22,8,10,406,300.0,0
2006,North Melbourne,116,99,24,2,42,20,18,21,21,47,39,71,1,136,135,6,24,98,38,58,900,52.0,4
2006,Parkville,34,49,3,2,20,0,14,9,5,43,3,2,0,24,11,4,1,18,4,1,213,178.0,0
2006,Port Melbourne,15,8,10,1,8,19,2,6,8,2,19,60,2,7,53,5,4,22,38,54,328,0.0,0
2006,South Yarra,15,17,1,0,5,0,13,5,0,3,1,0,0,10,0,1,0,10,0,0,66,0.0,0
2006,Southbank,131,122,28,4,42,12,9,25,26,17,33,20,5,61,99,11,29,100,12,17,672,549.0,0
2006,West Melbourne (Industrial),13,9,3,1,10,4,0,10,1,0,3,18,0,7,4,4,16,9,83,235,417,0.0,0
2006,West Melbourne (Residential),60,53,24,0,23,10,10,9,16,18,25,34,0,72,86,11,8,53,26,48,526,0.0,0
2007,Carlton,316,239,27,1,38,12,85,15,37,93,23,31,0,152,152,21,16,168,7,27,1144,676.0,0
2007,Docklands,139,117,19,0,24,18,6,8,18,9,12,9,1,35,49,11,33,157,41,10,577,73.0,0
2007,East Melbourne,70,62,12,0,42,4,17,8,18,208,9,6,0,53,84,21,7,19,4,6,580,0.0,0
2007,Kensington,12,10,2,0,59,3,1,5,2,10,2,21,0,14,9,2,2,11,5,15,173,10.0,19
2007,Melbourne (CBD),1403,1295,533,7,131,76,241,57,686,360,226,286,42,650,1681,177,174,1622,117,133,8494,1054.0,57
2007,Melbourne (Remainder),48,27,23,1,42,7,6,3,38,63,10,9,1,33,89,10,4,22,8,10,406,0.0,10
2007,North Melbourne,121,103,43,0,46,34,25,28,23,70,44,78,1,147,145,12,30,115,46,83,1073,103.0,0
2007,Parkville,36,51,2,1,28,1,15,7,10,70,4,3,0,25,15,3,1,23,6,0,265,76.0,0
2007,Port Melbourne,15,8,10,1,8,19,2,6,8,2,19,60,2,7,53,5,4,22,38,54,328,1.0,0
2007,South Yarra,15,17,1,0,5,0,13,5,0,3,1,0,0,10,0,1,0,10,0,0,66,0.0,0
2007,Southbank,131,122,28,4,42,12,9,25,26,17,33,20,5,61,99,11,29,100,12,17,672,0.0,9
2007,West Melbourne (Industrial),9,7,2,1,10,3,0,12,1,0,3,12,0,5,5,4,12,7,66,244,394,0.0,0
2007,West Melbourne (Residential),64,52,13,0,20,13,14,11,15,15,18,28,0,67,93,12,6,49,24,47,497,38.0,0
2008,Carlton,316,239,27,1,38,12,85,15,37,93,23,31,0,152,152,21,16,168,7,27,1144,217.0,14
2008,Docklands,139,117,19,0,24,18,6,8,18,9,12,9,1,35,49,11,33,157,41,10,577,89.0,45
2008,East Melbourne,69,62,12,0,42,4,17,8,18,208,9,6,0,53,84,21,7,19,4,6,580,27.0,6
2008,Kensington,37,29,7,1,82,14,6,11,4,16,6,36,0,40,20,5,7,29,13,33,359,86.0,0
2008,Melbourne (CBD),1480,1352,558,8,137,82,307,61,752,384,221,287,48,679,1828,192,189,1609,109,121,8924,33.0,43
2008,Melbourne (Remainder),63,37,23,1,43,9,7,3,47,63,12,9,1,30,90,7,8,18,6,8,422,0.0,0
2008,North Melbourne,121,103,43,0,46,34,25,28,23,70,44,78,1,147,145,12,30,115,46,83,1073,59.0,9
2008,Parkville,36,51,2,1,28,1,15,7,10,70,4,3,0,25,15,3,1,23,6,0,265,31.0,0
2008,Port Melbourne,15,8,12,1,9,31,4,7,9,1,18,60,2,7,54,4,4,20,36,58,345,0.0,0
2008,South Yarra,16,17,2,0,5,0,13,5,0,3,1,0,0,10,0,1,0,9,0,0,66,0.0,0
2008,Southbank,141,131,27,3,44,16,13,22,27,19,32,20,6,56,127,12,30,104,15,14,718,11.0,0
2008,West Melbourne (Industrial),9,7,2,1,10,3,0,12,1,0,3,12,0,5,5,4,12,7,66,244,394,0.0,1
2008,West Melbourne (Residential),64,52,13,0,20,13,14,11,15,15,18,28,0,67,93,12,6,49,24,47,497,9.0,6
2009,Carlton,338,253,26,1,35,21,87,14,38,99,21,32,0,149,148,23,16,163,5,29,1160,291.0,0
2009,Docklands,211,162,30,1,31,19,6,9,30,14,19,15,2,54,89,16,40,283,35,10,865,188.0,0
2009,East Melbourne,74,68,17,0,41,6,16,7,19,218,7,7,1,50,82,19,9,20,2,4,593,151.0,0
2009,Kensington,37,29,7,1,82,14,6,11,4,16,6,36,0,40,20,5,7,29,13,33,359,219.0,0
2009,Melbourne (CBD),1562,1395,552,7,163,82,306,63,741,393,214,286,51,736,1816,180,193,1590,109,121,8998,654.0,54
2009,Melbourne (Remainder),63,37,23,1,43,9,7,3,47,63,12,9,1,30,90,7,8,18,6,8,422,17.0,3
2009,North Melbourne,137,112,41,0,50,41,25,23,22,89,32,61,0,145,153,13,23,118,39,77,1064,74.0,0
2009,Parkville,36,51,2,1,28,1,15,7,10,70,4,3,0,25,15,3,1,23,6,0,265,68.0,0
2009,Port Melbourne,15,8,12,1,9,31,4,7,9,1,18,60,2,7,54,4,4,20,36,58,345,0.0,9
2009,South Yarra,16,17,2,0,5,0,13,5,0,3,1,0,0,10,0,1,0,9,0,0,66,0.0,0
2009,Southbank,141,131,27,3,44,16,13,22,27,19,32,20,6,56,127,12,30,104,15,14,718,665.0,0
2009,West Melbourne (Industrial),9,8,1,1,11,2,0,12,1,0,3,10,0,6,5,4,11,8,64,218,365,0.0,0
2009,West Melbourne (Residential),73,58,16,0,19,13,17,12,16,13,12,22,0,63,105,6,7,46,20,47,492,175.0,0
2010,Carlton,338,253,26,1,35,21,87,14,38,99,21,32,0,149,148,23,16,163,5,29,1160,35.0,0
2010,Docklands,211,162,30,1,31,19,6,9,30,14,19,15,2,54,89,16,40,283,35,10,865,66.0,0
2010,East Melbourne,74,68,17,0,41,6,16,7,19,218,7,7,1,50,82,19,9,20,2,4,593,86.0,0
2010,Kensington,37,29,7,1,82,14,6,11,4,16,6,36,0,40,20,5,7,29,13,33,359,112.0,12
2010,Melbourne (CBD),1655,1449,525,4,166,79,299,65,700,394,200,281,50,750,1728,178,196,1595,109,121,8889,971.0,58
2010,Melbourne (Remainder),69,40,23,1,49,10,7,4,40,67,9,11,1,27,72,6,10,18,7,6,408,123.0,0
2010,North Melbourne,137,112,41,0,50,41,25,23,22,89,32,61,0,145,153,13,23,118,39,77,1064,123.0,0
2010,Parkville,49,57,3,1,30,0,15,7,6,85,3,4,0,23,15,4,1,23,5,0,282,0.0,0
2010,Port Melbourne,29,17,13,2,11,44,5,6,10,2,13,77,0,13,74,7,11,22,35,72,434,0.0,0
2010,South Yarra,16,17,2,0,5,0,13,5,0,3,1,0,0,10,0,1,0,9,0,0,66,0.0,0
2010,Southbank,141,131,27,3,44,16,13,22,27,19,32,20,6,56,127,12,30,104,15,14,718,609.0,29
2010,West Melbourne (Industrial),9,8,1,1,11,2,0,12,1,0,3,10,0,6,5,4,11,8,64,218,365,0.0,0
2010,West Melbourne (Residential),73,58,16,0,19,13,17,12,16,13,12,22,0,63,105,6,7,46,20,47,492,10.0,0
2011,Carlton,338,253,26,1,35,21,87,14,38,99,21,32,0,149,148,23,16,163,5,29,1160,369.0,0
2011,Docklands,211,162,30,1,31,19,6,9,30,14,19,15,2,54,89,16,40,283,35,10,865,806.0,9
2011,East Melbourne,74,68,17,0,41,6,16,7,19,218,7,7,1,50,82,19,9,20,2,4,593,0.0,0
2011,Kensington,49,41,7,4,89,31,15,10,3,27,11,56,2,54,42,5,13,52,15,34,511,57.0,0
2011,Melbourne (CBD),1738,1507,518,4,173,77,299,65,700,386,194,282,48,752,1729,173,201,1602,109,117,8936,242.0,434
2011,Melbourne (Remainder),69,38,23,1,49,10,6,4,40,64,9,11,1,25,67,6,10,14,7,6,391,0.0,0
2011,North Melbourne,137,112,41,0,50,41,25,23,22,89,32,61,0,145,153,13,23,118,39,77,1064,530.0,51
2011,Parkville,49,55,3,1,30,0,14,7,6,84,2,4,0,22,13,4,1,23,5,0,274,14.0,0
2011,Port Melbourne,29,17,13,2,11,44,5,6,10,2,13,77,0,13,74,7,11,22,35,72,434,0.0,0
2011,South Yarra,17,16,2,0,5,0,14,5,0,3,1,0,0,10,0,1,0,9,0,0,66,0.0,0
2011,Southbank,170,160,26,3,40,25,16,14,29,24,22,16,5,53,142,10,32,220,14,20,871,720.0,0
2011,West Melbourne (Industrial),9,8,1,1,11,2,0,12,1,0,3,10,0,6,5,4,11,8,64,218,365,0.0,0
2011,West Melbourne (Residential),73,58,16,0,19,13,17,12,16,13,12,22,0,63,105,6,7,46,20,47,492,72.0,19
2012,Carlton,346,180,27,2,37,15,38,7,30,73,10,22,0,131,106,15,17,133,5,19,867,470.0,73
2012,Docklands,246,171,34,0,36,21,11,10,25,20,25,12,3,62,100,14,40,260,33,12,889,1440.0,5
2012,East Melbourne,79,44,12,0,27,7,8,11,18,112,4,3,1,23,48,13,6,13,2,5,357,0.0,27
2012,Kensington,49,34,7,3,83,26,11,9,3,24,8,45,1,44,33,5,11,44,13,32,436,440.0,10
